"","RespondentID","Algeria","Argentina","Australia","Belgium","Bosnia and Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory Coast","Japan","Mexico","the Netherlands","Nigeria","Portugal","Russia","South Korea","Spain","Switzerland","United States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","sum_of_threes","Gender","Age","HouseholdIncome","Education","Location"
"1",3308895255,NA,3,5,4,NA,3,NA,4,NA,4,NA,NA,4,3,5,NA,NA,NA,NA,5,3,1,5,NA,NA,1,3,NA,NA,NA,5,2,4,5,4,NA,NA,3,NA,4,18,"Male","18-29","$100,000 - $149,999","Less than high school degree","West South Central"
"2",3308891308,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,4,4,4,NA,4,NA,NA,5,NA,3,5,NA,NA,NA,NA,NA,3,NA,4,NA,2,2,4,NA,NA,NA,NA,4,15,"Male","18-29","$100,000 - $149,999","Some college or Associate degree","West South Central"
"3",3308891135,3,4,NA,3,NA,4,5,5,4,5,3,3,3,4,2,4,4,3,4,5,NA,3,4,2,NA,3,2,4,4,2,3,NA,3,5,5,NA,4,5,4,3,33,"Male","30-44","$50,000 - $99,999","Graduate degree","Pacific"
"4",3308879091,NA,3,NA,3,NA,NA,3,3,2,4,NA,NA,3,3,3,NA,4,NA,3,3,NA,3,4,3,NA,4,3,3,3,3,3,NA,4,3,2,3,4,NA,4,3,57,"Male","45-60","$0 - $24,999","Less than high school degree","New England"
"5",3308871671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,4,NA,2,4,NA,NA,NA,NA,NA,3,NA,3,NA,3,3,3,NA,3,NA,3,NA,27,"Male","30-44","$25,000 - $49,999","High school degree","Pacific"
"6",3308871406,NA,4,3,5,3,5,NA,4,4,4,3,4,5,5,5,NA,5,NA,4,5,NA,5,5,4,NA,4,5,4,5,NA,2,3,3,5,5,5,5,NA,NA,3,18,"Female","30-44","$50,000 - $99,999","Graduate degree","East North Central"
"7",3308866182,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,3,NA,4,NA,3,2,NA,NA,NA,NA,3,NA,21,"Male","45-60","","High school degree","West South Central"
"8",3308857114,NA,5,4,3,NA,4,NA,4,4,4,NA,3,3,5,5,NA,4,3,NA,5,NA,4,4,4,NA,4,3,3,5,5,5,3,4,4,3,3,5,NA,3,4,30,"Male","45-60","$0 - $24,999","Some college or Associate degree","South Atlantic"
"9",3308856510,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,4,NA,4,NA,NA,4,NA,3,4,NA,NA,NA,NA,NA,NA,NA,4,NA,3,4,3,NA,4,NA,4,4,12,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"10",3308846915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","","","",""
"11",3308845993,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,5,2,NA,4,NA,NA,5,NA,5,4,NA,NA,NA,2,3,3,NA,5,NA,4,4,4,NA,3,3,3,3,21,"Male","30-44","$50,000 - $99,999","Bachelor degree","Mountain"
"12",3308837085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,2,3,NA,4,NA,3,2,3,2,NA,NA,3,3,24,"Male","> 60","$0 - $24,999","Some college or Associate degree","South Atlantic"
