"c.......Pair...Player.Name..Total.Round.Round.Round.Round.Round.Round.Round..Num..USCF.ID...Rtg..Pre..Post...Pts..1.2.3.4.5.6.7....."
""
" Pair | Player Name |Total|Round|Round|Round|Round|Round|Round|Round| Num| USCF ID / Rtg (Pre->Post)| Pts |1|2|3|4|5|6|7| "
" 1 | GARY HUA|6.0|W39|W21|W18|W14|W7|D12|D4| ON | 15445895 / R: 1794->1817|N:2|W|B|W|B|W|B|W| "
" 2 | DAKSHESH DARURI|6.0|W63|W58|L4|W17|W16|W20|W7| MI | 14598900 / R: 1553->1663|N:2|B|W|B|W|B|W|B| "
" 3 | ADITYA BAJAJ|6.0|L8|W61|W25|W21|W11|W13|W12| MI | 14959604 / R: 1384->1640|N:2|W|B|W|B|W|B|W| "
" 4 | PATRICK H SCHILLING|5.5|W23|D28|W2|W26|D5|W19|D1| MI | 12616049 / R: 1716->1744|N:2|W|B|W|B|W|B|B| "
" 5 | HANSHI ZUO|5.5|W45|W37|D12|D13|D4|W14|W17| MI | 14601533 / R: 1655->1690|N:2|B|W|B|W|B|W|B| "
" 6 | HANSEN SONG |5.0|W34|D29|L11|W35|D10|W27|W21| OH | 15055204 / R: 1686->1687|N:3|W|B|W|B|B|W|B| "
" 7 | GARY DEE SWATHELL|5.0|W57|W46|W13|W11|L1|W9|L2| MI | 11146376 / R: 1649->1673|N:3|W|B|W|B|B|W|W| "
" 8 | EZEKIEL HOUGHTON|5.0|W3|W32|L14|L9|W47|W28|W19| MI | 15142253 / R: 1641P17->1657P24|N:3|B|W|B|W|B|W|W| "
" 9 | STEFANO LEE |5.0|W25|L18|W59|W8|W26|L7|W20| ON | 14954524 / R: 1411->1564|N:2|W|B|W|B|W|B|B| "
" 10 | ANVIT RAO|5.0|D16|L19|W55|W31|D6|W25|W18| MI | 14150362 / R: 1365->1544|N:3|W|W|B|B|W|B|W| "
" 11 | CAMERON WILLIAM MC LEMAN|4.5|D38|W56|W6|L7|L3|W34|W26| MI | 12581589 / R: 1712->1696|N:3|B|W|B|W|B|W|B| "
" 12 | KENNETH J TACK|4.5|W42|W33|D5|W38|H|D1|L3| MI | 12681257 / R: 1663->1670|N:3|W|B|W|B||W|B| "
" 13 | TORRANCE HENRY JR|4.5|W36|W27|L7|D5|W33|L3|W32| MI | 15082995 / R: 1666->1662|N:3|B|W|B|B|W|W|B| "
" 14 | BRADLEY SHAW|4.5|W54|W44|W8|L1|D27|L5|W31| MI | 10131499 / R: 1610->1618|N:3|W|B|W|W|B|B|W| "
" 15 | ZACHARY JAMES HOUGHTON|4.5|D19|L16|W30|L22|W54|W33|W38| MI | 15619130 / R: 1220P13->1416P20|N:3|B|B|W|W|B|B|W| "
" 16 | MIKE NIKITIN|4.0|D10|W15|H|W39|L2|W36|U| MI | 10295068 / R: 1604->1613|N:3|B|W||B|W|B|| "
" 17 | RONALD GRZEGORCZYK|4.0|W48|W41|L26|L2|W23|W22|L5| MI | 10297702 / R: 1629->1610|N:3|W|B|W|B|W|B|W| "
" 18 | DAVID SUNDEEN|4.0|W47|W9|L1|W32|L19|W38|L10| MI | 11342094 / R: 1600->1600|N:3|B|W|B|W|B|W|B| "
" 19 | DIPANKAR ROY|4.0|D15|W10|W52|D28|W18|L4|L8| MI | 14862333 / R: 1564->1570|N:3|W|B|W|B|W|W|B| "
" 20 | JASON ZHENG |4.0|L40|W49|W23|W41|W28|L2|L9| MI | 14529060 / R: 1595->1569|N:4|W|B|W|B|W|B|W| "
" 21 | DINH DANG BUI|4.0|W43|L1|W47|L3|W40|W39|L6| ON | 15495066 / R: 1563P22->1562|N:3|B|W|B|W|W|B|W| "
" 22 | EUGENE L MCCLURE|4.0|W64|D52|L28|W15|H|L17|W40| MI | 12405534 / R: 1555->1529|N:4|W|B|W|B||W|B| "
" 23 | ALAN BUI|4.0|L4|W43|L20|W58|L17|W37|W46| ON | 15030142 / R: 1363->1371||B|W|B|W|B|W|B| "
